"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2015-04-21",4212.19,4293.62,76.55,"1.82%",4188.57,4294.38,634470656,86244776,"-",4215.4,4132.09,3952.1,3791.93,3662.84,3561.98,3515.56
"2015-04-22",4304.6,4398.49,104.87,"2.44%",4297.95,4400.19,680305088,97687696,"-",4278.26,4172.46,3987.46,3829.02,3691.62,3585.85,3535.98
"2015-04-23",4414.48,4414.51,16.01,"0.36%",4358.84,4444.41,667344640,96302488,"-",4322.2,4218.16,4025.15,3866.47,3721.27,3610.66,3554.16
"2015-04-24",4355.95,4393.69,-20.82,"-0.47%",4318.12,4416.38,628555008,91687296,"-",4343.48,4254.09,4060.73,3901.28,3748.65,3635.8,3571.67
"2015-04-27",4441.93,4527.4,133.71,"3.04%",4441.93,4529.73,671088512,97524208,"-",4405.54,4294.66,4102.54,3939.76,3779.08,3664.83,3591.26
"2015-04-28",4527.63,4476.21,-51.18,"-1.13%",4432.9,4572.39,767676416,106117216,"-",4442.06,4328.73,4137.02,3973.99,3807.58,3692.45,3609.48
"2015-04-29",4446.12,4476.62,0.4,"0.01%",4398.64,4499.94,519834208,75240176,"-",4457.69,4367.97,4173.46,4006.45,3837.91,3719.15,3628.21
"2015-04-30",4483.01,4441.65,-34.96,"-0.78%",4441.05,4507.34,526728000,77434920,"-",4463.11,4392.66,4205.03,4035.27,3866.97,3744.83,3647.14
"2015-05-04",4441.34,4480.46,38.81,"0.87%",4387.43,4487.57,494173376,71754080,"-",4480.47,4411.97,4237.76,4065.21,3897.77,3770.97,3667.44
"2015-05-05",4479.85,4298.71,-181.76,"-4.06%",4282.24,4488.87,572858624,80556608,"-",4434.73,4420.14,4259.5,4087.92,3924.21,3792.87,3685.58
"2015-05-06",4311.64,4229.27,-69.44,"-1.62%",4187.37,4376.35,481732992,71653624,"-",4385.34,4413.7,4272.9,4105.97,3947.38,3813.01,3703.93
"2015-05-07",4197.9,4112.21,-117.05,"-2.77%",4108.01,4213.76,394566656,54020632,"-",4312.46,4385.07,4278.77,4120,3968.03,3830.31,3719.05
"2015-05-08",4152.98,4205.92,93.7,"2.28%",4099.04,4206.86,397428096,55964868,"-",4265.31,4364.21,4291.18,4138.17,3990.91,3849.86,3736.25
"2015-05-11",4231.27,4333.58,127.67,"3.04%",4187.82,4334.88,488750528,71524664,"-",4235.94,4358.2,4306.15,4159.89,4015.51,3870.56,3756.2
"2015-05-12",4342.37,4401.22,67.64,"1.56%",4317.98,4402.31,521866400,79346376,"-",4256.44,4345.58,4320.12,4183.56,4041.22,3892.38,3778.29
"2015-05-13",4402.38,4375.76,-25.46,"-0.58%",4342.48,4415.63,510490464,78075496,"-",4285.74,4335.54,4332.13,4203.2,4064.38,3913.17,3799.63
"2015-05-14",4372.82,4378.31,2.55,"0.06%",4329.04,4397.75,449077952,66988224,"-",4338.96,4325.71,4346.84,4224.21,4086.27,3935.47,3820.25
