"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2017-11-08",11460.15,11447.4,-20.57,"-0.18%",11441.8,11563.82,120501912,17530186,"-",11359.34,11372.05,11338.37,11265.71,11212.39,11127.2,11032.81
"2017-11-09",11443.54,11553.24,105.84,"0.92%",11414.2,11553.24,103609336,14858533,"-",11411.51,11382.5,11350.66,11277.78,11225.61,11145.88,11049.62
"2017-11-10",11540.55,11645.05,91.81,"0.79%",11531.59,11659.66,113823600,16932830,"-",11497.48,11402.56,11362.96,11296.96,11242.51,11167.72,11069.03
"2017-11-13",11657.63,11695,49.95,"0.43%",11631.19,11714.98,119989408,18266886,"-",11561.73,11440.8,11384.15,11322.43,11260.61,11188.44,11092.42
"2017-11-14",11689.93,11582.93,-112.07,"-0.96%",11538.34,11700.73,122645800,18270134,"-",11584.72,11462.33,11399.53,11343.51,11273.84,11203.9,11110.14
"2017-11-15",11548,11462.11,-120.82,"-1.04%",11390.3,11583.97,99769408,15743487,"-",11587.67,11473.51,11408.5,11357.68,11284.31,11217.9,11125.18
"2017-11-16",11442.85,11537.96,75.85,"0.66%",11415.75,11549.08,103330608,15193873,"-",11584.61,11498.06,11425.92,11374.57,11295.47,11232.38,11140.8
"2017-11-17",11519.92,11292.93,-245.03,"-2.12%",11292.93,11555.87,129489192,18199140,"-",11514.19,11505.83,11428.62,11381.43,11301.03,11241.91,11151.45
"2017-11-20",11229.58,11437.55,144.62,"1.28%",11087.53,11437.55,104921416,15160523,"-",11462.7,11512.21,11435.18,11387.2,11310.39,11253.05,11165.18
"2017-11-21",11419.09,11602.1,164.55,"1.44%",11407.4,11602.1,122782696,18075102,"-",11466.53,11525.63,11448.33,11396.29,11321.6,11265.83,11180.38
"2017-11-22",11598.04,11560.8,-41.3,"-0.36%",11454.26,11666.13,119001344,17876246,"-",11486.27,11536.97,11454.51,11404.57,11333.53,11277.31,11195.5
"2017-11-23",11520.04,11175.47,-385.33,"-3.33%",11162.53,11520.04,117300048,17192128,"-",11413.77,11499.19,11440.85,11400.17,11333.13,11280.33,11204.76
"2017-11-24",11135.07,11168.39,-7.08,"-0.06%",11058.99,11225.2,93689320,13913050,"-",11388.86,11451.52,11427.04,11392.48,11335.6,11284.31,11215.02
"2017-11-27",11126.78,10954.18,-214.21,"-1.92%",10936.14,11126.78,100789952,13638368,"-",11292.19,11377.44,11409.12,11381.91,11336.19,11283.98,11219.94
"2017-11-28",10938.4,11091.14,136.96,"1.25%",10936.4,11091.14,84214080,11836876,"-",11190,11328.26,11395.29,11375.77,11339.7,11284.73,11224.63
"2017-11-29",11095.91,11082.13,-9.01,"-0.08%",10936.99,11108.45,98128928,13817581,"-",11094.26,11290.27,11381.89,11369.09,11340.83,11285.5,11229.96
"2017-11-30",11036.75,10944.1,-138.03,"-1.25%",10908.7,11079.93,81685592,11721669,"-",11047.99,11230.88,11364.47,11360.9,11338.65,11282.55,11232.13
"2017-12-01",10941.87,11013.15,69.05,"0.63%",10926.77,11077.43,81705760,11768189,"-",11016.94,11202.9,11354.37,11353.38,11336.8,11281.4,11235.4
"2017-12-04",11007.19,11014.55,1.4,"0.01%",10993.51,11099.83,87938152,12272782,"-",11029.01,11160.6,11336.41,11343.65,11330.55,11280.43,11237.64
"2017-12-05",10988.07,10854.76,-159.79,"-1.45%",10801.4,11044.18,97036664,13510723,"-",10981.74,11085.87,11305.75,11327.51,11318.68,11274.46,11235.84
"2017-12-06",10838.04,10911.33,56.58,"0.52%",10716.29,10911.33,89133024,12208320,"-",10947.58,11020.92,11278.94,11309.98,11308.65,11271,11234.58
"2017-12-07",10886.26,10801.25,-110.08,"-1.01%",10795.84,10925.2,73235160,10280062,"-",10919.01,10983.5,11241.34,11288.4,11296,11263.21,11230.85
"2017-12-08",10789.17,10935.06,133.81,"1.24%",10789.17,10964.79,79868440,11426269,"-",10903.39,10960.17,11205.84,11271.41,11284.4,11260.51,11230.29
"2017-12-11",10962.18,11143.26,208.2,"1.90%",10962.18,11143.26,89580216,13339906,"-",10929.13,10979.07,11178.26,11265.77,11281.2,11264.76,11233.16
"2017-12-12",11145.75,11043.21,-100.05,"-0.90%",11043.21,11176.58,82547568,12265193,"-",10966.82,10974.28,11151.27,11254.96,11275.4,11266.61,11232.99
"2017-12-13",11030.01,11143.89,100.68,"0.91%",11019.59,11143.89,73448336,10802500,"-",11013.33,10980.46,11135.36,11248.08,11271.93,11268.75,11234.66
"2017-12-14",11138.46,11110.18,-33.71,"-0.30%",11070.98,11165.61,79926560,11668444,"-",11075.12,10997.06,11113.97,11242,11269.94,11270.33,11234.97
"2017-12-15",11092.15,10998.12,-112.06,"-1.01%",10970.73,11104.82,87565856,12036737,"-",11087.73,10995.56,11099.23,11234.76,11263.93,11268.55,11233.76
"2017-12-18",10991.11,10960.12,-38,"-0.35%",10916.19,11046.1,71952904,10647228,"-",11051.1,10990.12,11075.36,11220.98,11255.27,11262.47,11232.05
"2017-12-19",10964.14,11075,114.88,"1.05%",10963.79,11077.18,71159600,10290409,"-",11057.46,11012.14,11049,11207.88,11248.67,11257.38,11230.74
"2017-12-20",11072.41,11003.33,-71.66,"-0.65%",10988.89,11079.13,74264264,10785799,"-",11029.35,11021.34,11021.13,11193.08,11237.82,11251.19,11229.39
"2017-12-21",10988.77,11118.25,114.92,"1.04%",10935.22,11149.04,85104904,12088878,"-",11030.96,11053.04,11018.27,11178.58,11229.56,11247.41,11228.18
"2017-12-22",11112.73,11094.16,-24.09,"-0.22%",11078.26,11154.75,69269712,10104174,"-",11050.17,11068.95,11014.56,11160.21,11220.8,11241.31,11228.59
"2017-12-25",11102.16,11005.5,-88.66,"-0.80%",10967.37,11132.59,81742568,11423905,"-",11059.25,11055.18,11017.12,11137.23,11213.12,11236,11229.83
"2017-12-26",11002.34,11021.83,16.33,"0.15%",10900.64,11025.1,75802824,9864888,"-",11048.61,11053.04,11013.66,11118.53,11204.48,11230.93,11231.02
"2017-12-27",11007.44,10911.21,-110.62,"-1.00%",10911.21,11026.73,86883208,11654750,"-",11030.19,11029.77,11005.11,11100.16,11193.5,11223.5,11228.92
"2017-12-28",10907.83,10974.01,62.8,"0.58%",10891.75,11029.08,89650504,11940743,"-",11001.34,11016.15,11006.61,11081.37,11185.54,11219.19,11227.97
"2017-12-29",10984.86,11040.45,66.44,"0.61%",10971.64,11040.62,76182816,10433321,"-",10990.6,11020.39,11007.97,11072.95,11181.17,11215.22,11227.19
"2018-01-02",11079.64,11178.05,137.6,"1.25%",11072.87,11178.05,97939744,13362061,"-",11025.11,11042.18,11016.15,11064.3,11176.28,11212.65,11225.75
"2018-01-03",11181.18,11280.3,102.25,"0.91%",11171.12,11316.46,115487040,16463784,"-",11076.8,11062.71,11037.43,11053.57,11171.59,11211.48,11224.93
"2018-01-04",11270.91,11341.35,61.05,"0.54%",11259.46,11341.35,99226400,14558703,"-",11162.83,11096.51,11058.93,11046.26,11168.94,11209.56,11225.41
"2018-01-05",11339.57,11342.85,1.5,"0.01%",11310.29,11372.29,107700288,14618953,"-",11236.6,11118.97,11086.01,11051.84,11163.68,11207.44,11226
"2018-01-08",11343.82,11382.72,39.87,"0.35%",11287.6,11386.04,122767536,16512052,"-",11305.05,11147.83,11108.39,11058.98,11157.12,11206.2,11225.73
"2018-01-09",11371.93,11447.09,64.37,"0.57%",11358.13,11449.6,107944056,14202059,"-",11358.86,11191.99,11123.58,11075.41,11150.92,11208.89,11228.66
"2018-01-10",11439.22,11437.08,-10.01,"-0.09%",11345.1,11446.41,113766792,15179109,"-",11390.22,11233.51,11143.27,11086.94,11147.27,11210.28,11231.36
"2018-01-11",11411.58,11464.2,27.12,"0.24%",11372.36,11482.81,106515264,14446166,"-",11414.79,11288.81,11159.29,11099.68,11147.33,11212.56,11234.38
"2018-01-12",11459.46,11461.99,-2.21,"-0.02%",11420.26,11496.53,102230456,13463499,"-",11438.62,11337.61,11176.88,11116.94,11145.43,11215.95,11238.92
"2018-01-15",11453.33,11307.46,-154.53,"-1.35%",11277.31,11476.58,133224584,17973344,"-",11423.56,11364.31,11192.35,11126.75,11145.79,11217.8,11240.07
"2018-01-16",11283.6,11386.91,79.45,"0.70%",11283.29,11402.46,117030584,16616713,"-",11411.53,11385.2,11213.69,11139.16,11144.52,11218.06,11241.41
"2018-01-17",11366.6,11303.97,-82.94,"-0.73%",11185.92,11367.16,133193000,18370890,"-",11384.91,11387.56,11225.14,11154.14,11137.07,11214.78,11240.82
"2018-01-18",11287.64,11319.91,15.94,"0.14%",11279.42,11375.11,89563024,12569239,"-",11356.05,11385.42,11240.96,11167.76,11131.05,11212.23,11238.87
"2018-01-19",11314.46,11296.27,-23.64,"-0.21%",11276.57,11393.04,112007600,14783658,"-",11322.9,11380.76,11249.87,11184.26,11134.07,11207.09,11236.33
"2018-01-22",11289.86,11513.08,216.81,"1.92%",11273.69,11513.08,107756152,15693731,"-",11364.03,11393.8,11270.81,11203.52,11142.69,11204.45,11237.47
"2018-01-23",11514.56,11555.26,42.18,"0.37%",11493.74,11564.95,101583200,14352184,"-",11397.7,11404.61,11298.3,11217.26,11157.71,11201.66,11241.51
"2018-01-24",11548.21,11607.57,52.32,"0.45%",11456.26,11613.96,127843328,18006826,"-",11458.42,11421.66,11327.59,11236.07,11170.62,11202.15,11245.51
"2018-01-25",11588.38,11552.56,-55.01,"-0.47%",11548.68,11633.46,123896112,17410796,"-",11504.95,11430.5,11359.65,11249.69,11182.38,11203.96,11248.88
"2018-01-26",11524.7,11557.82,5.26,"0.05%",11512.94,11605.13,100843048,14499688,"-",11557.26,11440.08,11388.84,11264.61,11197.73,11204.36,11253.31
"2018-01-29",11547.68,11352.72,-205.1,"-1.77%",11323.69,11556.65,122436120,17114802,"-",11525.19,11444.61,11404.46,11276.43,11206.22,11205.55,11255.6
"2018-01-30",11319.97,11278.78,-73.94,"-0.65%",11260.31,11370,93846016,13035090,"-",11469.89,11433.79,11409.49,11287.06,11212.82,11202.38,11254.02
"2018-01-31",11210.06,11159.68,-119.1,"-1.06%",11119.32,11244.18,107157536,14412726,"-",11380.31,11419.36,11403.46,11289.88,11220.44,11193.53,11248.88
"2018-02-01",11145.41,10864.34,-295.34,"-2.65%",10836.35,11171.36,129168568,16291111,"-",11242.67,11373.81,11379.61,11285.25,11219.27,11179.6,11239.16
"2018-02-02",10794.13,10925.16,60.82,"0.56%",10663.54,10933.16,106989568,13784516,"-",11116.14,11336.7,11358.73,11278.81,11222.37,11174.59,11228.69
"2018-02-05",10761.08,10836.25,-88.91,"-0.81%",10741.85,10873.24,91115088,12791493,"-",11012.84,11269.01,11331.41,11270.21,11219.9,11167.95,11215.21
"2018-02-06",10603.54,10377.61,-458.64,"-4.23%",10377.61,10685.16,117863712,15630511,"-",10832.61,11151.25,11277.93,11249.28,11200.76,11156.42,11193.26
"2018-02-07",10563.31,10246.97,-130.64,"-1.26%",10173.66,10599.54,112730224,15017935,"-",10650.07,11015.19,11218.43,11223.45,11180.85,11139.54,11170.99
"2018-02-08",10219.39,10372.59,125.62,"1.23%",10219.21,10411.2,86175792,11671630,"-",10551.72,10897.19,11163.85,11205.5,11161.57,11125.35,11152.83
"2018-02-09",10096.46,10001.23,-371.36,"-3.58%",9868.83,10172.78,113534440,14122190,"-",10366.93,10741.53,11090.81,11173.07,11133.84,11106.49,11127.22
"2018-02-12",10059.86,10291.88,290.65,"2.91%",10059.86,10325.68,81027816,10879415,"-",10258.06,10635.45,11040.03,11148.12,11116.19,11092.06,11110.54
"2018-02-13",10367.68,10362.43,70.55,"0.69%",10350.17,10486.81,77232928,10426008,"-",10255.02,10543.81,10988.8,11120.93,11101.25,11079.02,11092.62
"2018-02-14",10381.16,10431.91,69.48,"0.67%",10319.15,10433.09,53414724,7094089.5,"-",10292.01,10471.04,10945.2,11092.65,11085.17,11070.56,11073.11
"2018-02-22",10547.81,10658.94,227.03,"2.18%",10526.98,10667.8,78393744,10398247,"-",10349.28,10450.5,10912.15,11069.91,11076.56,11065.52,11058.08
"2018-02-23",10667.81,10662.79,3.85,"0.04%",10578.79,10700.11,75885776,10163169,"-",10481.59,10424.26,10880.48,11047.24,11065.17,11062.75,11049.54
"2018-02-26",10731.31,10895.56,232.77,"2.18%",10670.17,10920.21,111841056,15135749,"-",10602.33,10430.19,10849.6,11031,11060.21,11061.96,11044.99
"2018-02-27",10898.29,10807.54,-88.02,"-0.81%",10791.95,10915.36,103968704,14879505,"-",10691.35,10473.18,10812.22,11009.68,11055.26,11055.24,11042.55
"2018-02-28",10705.81,10828.73,21.2,"0.20%",10656.36,10875.71,100884640,14501629,"-",10770.71,10531.36,10773.27,10989.4,11050.43,11050.95,11038.17
"2018-03-01",10754.62,10943.13,114.4,"1.06%",10732.93,10943.13,97848128,14041915,"-",10827.55,10588.41,10742.8,10972.03,11051.23,11046.94,11035.86
"2018-03-02",10857.87,10856.25,-86.88,"-0.79%",10840.01,10947.39,91565928,13064456,"-",10866.24,10673.92,10707.72,10951.84,11048.28,11041.86,11034.39
"2018-03-05",10882.87,10875.68,19.43,"0.18%",10813.46,10913.03,80019488,11420785,"-",10862.27,10732.3,10683.87,10937.45,11044.17,11039.41,11032.1
"2018-03-06",10909.28,11007.95,132.27,"1.22%",10873.84,11007.95,112230000,15383316,"-",10902.35,10796.85,10670.33,10924.82,11039.91,11040.37,11031.99
"2018-03-07",10993.95,10904.99,-102.96,"-0.94%",10897.58,11031.48,91848016,12345999,"-",10917.6,10844.16,10657.6,10911.52,11030.53,11036.97,11032.83
"2018-03-08",10902.35,11019.08,114.09,"1.05%",10892.18,11019.08,83246376,11629072,"-",10932.79,10880.17,10665.33,10901.49,11022.47,11037.28,11034.62
"2018-03-09",11040.37,11194.91,175.83,"1.60%",11030.55,11203.72,120272992,16174558,"-",11000.52,10933.38,10678.82,10898.11,11018.77,11038.81,11041.19
"2018-03-12",11266.32,11326.27,131.36,"1.17%",11260.46,11328.77,134133952,19249354,"-",11090.64,10976.45,10703.32,10891.89,11017.36,11043.46,11047.71
"2018-03-13",11311.04,11241.41,-84.86,"-0.75%",11236.38,11335.3,108874096,15064782,"-",11137.33,11019.84,10746.51,10881.42,11012.22,11048.17,11049.34
"2018-03-14",11198.77,11139.63,-101.78,"-0.91%",11138.39,11242.3,93934472,13351464,"-",11184.26,11050.93,10791.15,10865.83,11004.79,11050.53,11050.95
"2018-03-15",11100.53,11163.65,24.02,"0.22%",11051.62,11195.94,90255352,12807066,"-",11213.17,11072.98,10830.7,10852.86,10997.27,11055.58,11051.28
"2018-03-16",11166.43,11051.12,-112.53,"-1.01%",11051.12,11192.36,81678704,11777087,"-",11184.42,11092.47,10883.19,10835.97,10987,11057.12,11050.29
"2018-03-19",11046.03,11068.49,17.37,"0.16%",10994.68,11120.75,80585800,11522708,"-",11132.86,11111.75,10922.02,10826.5,10981.03,11057.68,11051.47
"2018-03-20",10982.73,11077.8,9.31,"0.08%",10951.99,11082.03,80327584,11286474,"-",11100.14,11118.74,10957.79,10819.8,10973.3,11055.68,11053.43
"2018-03-21",11100.91,10980.55,-97.25,"-0.88%",10973.58,11170.56,94144608,13087321,"-",11068.32,11126.29,10985.22,10813.83,10965.21,11049.68,11051.85
"2018-03-22",10988.83,10877.25,-103.3,"-0.94%",10858.45,11035.58,82653152,11585663,"-",11011.04,11112.11,10996.14,10814.26,10954.15,11040.4,11049.75
"2018-03-23",10511.16,10439.99,-437.26,"-4.02%",10256.5,10664.93,148411344,18283558,"-",10888.82,11036.62,10985,10798.09,10932.74,11022.34,11038.45
"2018-03-26",10303.75,10564.38,124.39,"1.19%",10217.22,10564.38,101878672,13669555,"-",10787.99,10960.43,10968.44,10789.02,10909.02,11005.98,11029.62
"2018-03-27",10683.16,10775.71,211.34,"2.00%",10675.5,10799.37,114134232,16551659,"-",10727.58,10913.86,10966.85,10802.29,10889.53,10992.55,11025.79
"2018-03-28",10633.7,10630.69,-145.02,"-1.35%",10613.06,10768.48,99481664,14781458,"-",10657.6,10862.96,10956.95,10815.08,10865.11,10976.42,11019.27
"2018-03-29",10676.56,10755.92,125.23,"1.18%",10564.29,10778.8,95818216,13792330,"-",10633.34,10822.19,10947.59,10827.86,10845.19,10962.26,11016.68
